y	x
0.175	0.05
0.349	0.1
0.407	0.15
0.407	0.2
0.407	0.25
0.524	0.3
0.64	0.35
0.64	0.4
0.64	0.45
0.698	0.5
0.756	0.55
0.814	0.6
0.814	0.65
0.873	0.7
0.931	0.75
0.989	0.8
1.047	0.85
1.047	0.9
1.105	0.95
1.164	1
1.222	1.05
1.28	1.1
1.338	1.15
1.396	1.2
1.396	1.25
1.454	1.3
1.513	1.35
1.571	1.4
1.571	1.45
1.571	1.5
1.629	1.55
1.687	1.6
1.804	1.65
1.862	1.7
1.92	1.75
1.92	1.8
1.92	1.85
1.978	1.9
2.036	1.95
2.094	2
2.094	2.05
2.153	2.1
2.269	2.15
2.327	2.2
2.327	2.25
2.327	2.3
2.385	2.35
2.502	2.4
2.56	2.45
2.56	2.5
2.56	2.55
2.618	2.6
2.734	2.65
2.793	2.7
2.793	2.75
2.793	2.8
2.851	2.85
2.909	2.9
2.967	2.95
3.025	3
3.083	3.05
3.142	3.1
3.142	3.15
3.142	3.2
3.2	3.25
3.316	3.3
3.374	3.35
3.374	3.4
3.374	3.45
3.432	3.5
3.491	3.55
3.549	3.6
3.607	3.65
3.665	3.7
3.665	3.75
3.665	3.8
3.723	3.85
3.782	3.9
3.898	3.95
3.956	4
3.956	4.05
3.956	4.1
4.014	4.15
4.131	4.2
4.189	4.25
4.189	4.3
4.189	4.35
4.247	4.4
4.305	4.45
4.363	4.5
4.422	4.55
4.48	4.6
4.538	4.65
4.538	4.7
4.538	4.75
4.596	4.8
4.654	4.85
4.712	4.9
4.771	4.95
4.771	5
4.771	5.05
4.829	5.1
4.945	5.15
5.003	5.2
5.003	5.25
5.003	5.3
5.061	5.35
5.12	5.4
5.178	5.45
5.236	5.5
5.294	5.55
5.352	5.6
5.411	5.65
5.411	5.7
5.411	5.75
5.469	5.8
5.527	5.85
5.585	5.9
5.585	5.95
5.643	6
5.701	6.05
5.76	6.1
5.818	6.15
5.876	6.2
5.934	6.25
5.934	6.3
5.934	6.35
5.934	6.4
5.992	6.45
6.05	6.5
6.109	6.55
6.167	6.6
6.225	6.65
6.283	6.7
6.283	6.75
6.341	6.8
6.4	6.85
6.458	6.9
6.516	6.95
6.574	7
6.632	7.05
6.632	7.1
6.632	7.15
6.632	7.2
6.632	7.25
6.69	7.3
6.807	7.35
6.865	7.4
6.865	7.45
6.865	7.5
6.923	7.55
7.039	7.6
7.098	7.65
7.156	7.7
7.156	7.75
7.156	7.8
7.214	7.85
7.272	7.9
7.33	7.95
7.33	8
7.389	8.05
7.447	8.1
7.505	8.15
7.505	8.2
7.505	8.25
7.563	8.3
7.621	8.35
7.679	8.4
7.738	8.45
7.796	8.5
7.854	8.55
7.854	8.6
7.854	8.65
7.912	8.7
7.97	8.75
8.029	8.8
