x	y
0.1	1.92
0.15	2.269
0.2	2.56
0.25	2.851
0.3	3.142
0.35	3.432
0.4	3.723
0.45	4.014
0.5	4.363
0.55	4.712
0.6	5.003
0.65	5.294
0.7	5.585
0.75	5.876
0.8	6.167
0.85	6.4
0.9	6.69
0.95	6.981
1	7.272
1.05	7.621
1.1	7.912
1.15	8.203
1.2	8.494
1.25	8.785
1.3	9.076
1.35	9.308
1.4	9.599
1.45	9.948
1.5	10.297
1.55	10.588
1.6	10.821
1.65	11.054
1.7	11.345
1.75	11.636
1.8	11.868
1.85	12.159
1.9	12.508
1.95	12.799
2	13.032
2.05	13.265
2.1	13.555
2.15	13.846
2.2	14.137
2.25	14.428
2.3	14.661
2.35	14.893
2.4	15.184
2.45	15.533
2.5	15.824
2.55	16.057
2.6	16.29
2.65	16.581
2.7	16.872
2.75	17.104
2.8	17.337
2.85	17.628
2.9	17.919
2.95	18.151
3	18.384
3.05	18.675
3.1	18.966
3.15	19.199
3.2	19.431
3.25	19.664
3.3	19.897
3.35	20.129
