E1	E2	E3
0.20 	0.00 	-0.03 
0.10 	-0.06 	-0.02 
0.20 	-0.02 	0.36 
0.17 	-0.08 	-0.11 
0.12 	-0.09 	0.01 
0.21 	-0.02 	-0.01 
0.09 	0.06 	0.07 
0.08 	-0.06 	0.44 
0.24 	0.19 	0.03 
-0.22 	-0.06 	-0.09 
0.03 	0.03 	-0.02 
0.18 	-0.10 	0.37 
-0.04 	-0.06 	0.09 
0.21 	-0.01 	0.03 
0.07 	0.11 	-0.04 
0.16 	-0.05 	0.19 
0.07 	0.06 	-0.06 
0.12 	-0.11 	0.24 
-0.01 	-0.04 	-0.11 
0.24 	-0.11 	0.12 
